Var1,out_tab1,out_tab2,out_tab3,out_tab4,out_tab5,out_tab6,out_tab7,out_tab8,out_tab9,out_tab10,out_tab11,out_tab12,out_tab13,out_tab14,out_tab15,out_tab16,out_tab17,out_tab18,out_tab19,out_tab20
r_0206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0207,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0208,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0211,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0214,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0217,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0219,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0224,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0225,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0226,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0227,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0228,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0230,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0231,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0233,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0234,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0235,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0237,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0239,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0240,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0241,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0242,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0243,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0244,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0249,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0252,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0253,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0254,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0255,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0256,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0263,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0264,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0265,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0266,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0271,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0272,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0274,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0279,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0281,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0282,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0283,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0284,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0287,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0290,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0291,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0292,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0293,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0294,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0295,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0296,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0297,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0298,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0300,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0302,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0303,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0304,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0306,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0307,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0308,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0311,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0312,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0313,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0314,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0315,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0317,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0319,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0320,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0321,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0323,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0327,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0329,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0331,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0332,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0334,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0335,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0340,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
